index,timestamp,input_comment,IS_score,ES_score,details,feedback_1,feedback_2
0,1565764407.3112955,"Actually, this is what I am concerned about too. I am now a undergraduate student and I also don't know what my goal or what my interest field is, I think it is common to anyone like me and you. So, please don't be depressed. From my perspective, the only way to find your interst field is to try as much as you can, not only just skim on the field, but you need to get deep into it. If the first one and second one is not your favorite, just keep going and you will finally find your ideal field.",3,2,"{'function': 0.6732673267326733, 'article': 0.039603960396039604, 'prep': 0.10891089108910891, 'adverb': 0.10891089108910891, 'cogproc': 0.1485148514851485, 'differ': 0.0594059405940594, 'conj': 0.10891089108910891, 'auxverb': 0.1188118811881188, 'verb': 0.19801980198019803, 'focuspresent': 0.19801980198019803, 'pronoun': 0.21782178217821782, 'ipron': 0.06930693069306931, 'social': 0.07920792079207921, 'tentat': 0.039603960396039604, 'adj': 0.04950495049504951, 'compare': 0.0297029702970297, 'relativ': 0.0891089108910891, 'affect': 0.0594059405940594, 'space': 0.039603960396039604, 'negemo': 0.009900990099009901, 'sad': 0.009900990099009901, 'negate': 0.039603960396039604, 'posemo': 0.039603960396039604, 'time': 0.0297029702970297, 'insight': 0.04950495049504951, 'number': 0.039603960396039604, 'drives': 0.0594059405940594, 'achieve': 0.039603960396039604, 'reward': 0.019801980198019802, 'work': 0.0297029702970297, 'focusfuture': 0.019801980198019802, 'motion': 0.009900990099009901, 'ppron': 0.1485148514851485, 'i': 0.07920792079207921, 'discrep': 0.0297029702970297, 'quant': 0.009900990099009901, 'power': 0.009900990099009901, 'interrog': 0.0297029702970297, 'you': 0.06930693069306931}",Good job! I have one suggestion that could help you:,"You can try to make it more positive with words like:<br><br>cousin, marry, son, sister, colleague, boyfriend, darling, dude."
1,1565764411.2697399,"Actually, this is what I am concerned about too. I am now a undergraduate student and I also don't know what my goal or what my interest field is, I think it is common to anyone like me and you. So, please don't be depressed. From my perspective, the only way to find your interst field is to try as much as you can, not only just skim on the field, but you need to get deep into it. If the first one and second one is not your favorite, just keep going and you will finally find your ideal field.",3,2,"{'function': 0.6732673267326733, 'article': 0.039603960396039604, 'prep': 0.10891089108910891, 'adverb': 0.10891089108910891, 'cogproc': 0.1485148514851485, 'differ': 0.0594059405940594, 'conj': 0.10891089108910891, 'auxverb': 0.1188118811881188, 'verb': 0.19801980198019803, 'focuspresent': 0.19801980198019803, 'pronoun': 0.21782178217821782, 'ipron': 0.06930693069306931, 'social': 0.07920792079207921, 'tentat': 0.039603960396039604, 'adj': 0.04950495049504951, 'compare': 0.0297029702970297, 'relativ': 0.0891089108910891, 'affect': 0.0594059405940594, 'space': 0.039603960396039604, 'negemo': 0.009900990099009901, 'sad': 0.009900990099009901, 'negate': 0.039603960396039604, 'posemo': 0.039603960396039604, 'time': 0.0297029702970297, 'insight': 0.04950495049504951, 'number': 0.039603960396039604, 'drives': 0.0594059405940594, 'achieve': 0.039603960396039604, 'reward': 0.019801980198019802, 'work': 0.0297029702970297, 'focusfuture': 0.019801980198019802, 'motion': 0.009900990099009901, 'ppron': 0.1485148514851485, 'i': 0.07920792079207921, 'discrep': 0.0297029702970297, 'quant': 0.009900990099009901, 'power': 0.009900990099009901, 'interrog': 0.0297029702970297, 'you': 0.06930693069306931}",Good job! I have one suggestion that could help you:,"You can try to make it more positive with words like:<br><br>baby, nephew, father, family, ex-boyfriend, best friend, honney, neighbor."
2,1565764475.225613,"Hey friend! This is what I am concerned about too. I am now a undergraduate student and I also don't know what my goal or what my interest field is, I think it is common to anyone like me and you. So, please don't be depressed. From my perspective, the only way to find your interst field is to try as much as you can, not only just skim on the field, but you need to get deep into it. If the first one and second one is not your favorite, just keep going and you will finally find your ideal field.",3,2,"{'function': 0.6568627450980392, 'article': 0.0392156862745098, 'prep': 0.10784313725490197, 'adverb': 0.09803921568627451, 'conj': 0.10784313725490197, 'auxverb': 0.11764705882352941, 'verb': 0.19607843137254902, 'focuspresent': 0.19607843137254902, 'pronoun': 0.21568627450980393, 'ipron': 0.06862745098039216, 'social': 0.09803921568627451, 'cogproc': 0.13725490196078433, 'tentat': 0.0392156862745098, 'adj': 0.049019607843137254, 'compare': 0.029411764705882353, 'differ': 0.049019607843137254, 'relativ': 0.08823529411764706, 'affect': 0.058823529411764705, 'space': 0.0392156862745098, 'negemo': 0.00980392156862745, 'sad': 0.00980392156862745, 'negate': 0.0392156862745098, 'posemo': 0.0392156862745098, 'time': 0.029411764705882353, 'insight': 0.049019607843137254, 'number': 0.0392156862745098, 'drives': 0.06862745098039216, 'achieve': 0.0392156862745098, 'friend': 0.00980392156862745, 'affiliation': 0.00980392156862745, 'reward': 0.0196078431372549, 'work': 0.029411764705882353, 'focusfuture': 0.0196078431372549, 'motion': 0.00980392156862745, 'informal': 0.00980392156862745, 'ppron': 0.14705882352941177, 'i': 0.0784313725490196, 'discrep': 0.029411764705882353, 'quant': 0.00980392156862745, 'power': 0.00980392156862745, 'interrog': 0.029411764705882353, 'you': 0.06862745098039216}",Nice! Maybe you would like to try:,"Show connections to the help seeker, using words like:<br><br>I would have, me, myself, you would, yours, your, she will, him, she would, who, something, itself."
3,1565764537.776142,"Hey friend! This is what I am concerned about too. I am now a undergraduate student and I also don't know what my goal or what my interest field is, I think it is common to anyone like me and you. So, please don't be depressed. If I were you, the only way to find my interst field is to try as much as I can, not only just skim on the field, but I need to get deep into it. If the first one and second one is not your favorite, just keep going and you will finally find your ideal field.",3,2,"{'function': 0.6699029126213593, 'article': 0.038834951456310676, 'prep': 0.0970873786407767, 'adverb': 0.0970873786407767, 'conj': 0.11650485436893204, 'auxverb': 0.1262135922330097, 'verb': 0.20388349514563106, 'focuspresent': 0.1941747572815534, 'pronoun': 0.22330097087378642, 'ipron': 0.06796116504854369, 'social': 0.07766990291262135, 'cogproc': 0.13592233009708737, 'tentat': 0.04854368932038835, 'adj': 0.04854368932038835, 'compare': 0.02912621359223301, 'differ': 0.05825242718446602, 'relativ': 0.08737864077669903, 'affect': 0.05825242718446602, 'space': 0.038834951456310676, 'negemo': 0.009708737864077669, 'sad': 0.009708737864077669, 'negate': 0.038834951456310676, 'posemo': 0.038834951456310676, 'time': 0.02912621359223301, 'insight': 0.038834951456310676, 'number': 0.038834951456310676, 'drives': 0.06796116504854369, 'achieve': 0.038834951456310676, 'friend': 0.009708737864077669, 'affiliation': 0.009708737864077669, 'reward': 0.019417475728155338, 'work': 0.02912621359223301, 'focusfuture': 0.019417475728155338, 'motion': 0.009708737864077669, 'informal': 0.009708737864077669, 'ppron': 0.1553398058252427, 'i': 0.10679611650485436, 'discrep': 0.038834951456310676, 'quant': 0.009708737864077669, 'power': 0.009708737864077669, 'focuspast': 0.009708737864077669, 'interrog': 0.02912621359223301, 'you': 0.04854368932038835}",Good job! I have one suggestion that could help you:,"More positive words can be used in the comment, like:<br><br>mother, nephew, aunt, baby, partner, friend, contact, honney."
4,1565764542.1938982,"Hey friend! This is what I am concerned about too. I am now a undergraduate student and I also don't know what my goal or what my interest field is, I think it is common to anyone like me and you. So, please don't be depressed. If I were you, the only way to find my interst field is to try as much as I can, not only just skim on the field, but I need to get deep into it. If the first one and second one is not your favorite, just keep going and you will finally find your ideal field.",3,2,"{'function': 0.6699029126213593, 'article': 0.038834951456310676, 'prep': 0.0970873786407767, 'adverb': 0.0970873786407767, 'conj': 0.11650485436893204, 'auxverb': 0.1262135922330097, 'verb': 0.20388349514563106, 'focuspresent': 0.1941747572815534, 'pronoun': 0.22330097087378642, 'ipron': 0.06796116504854369, 'social': 0.07766990291262135, 'cogproc': 0.13592233009708737, 'tentat': 0.04854368932038835, 'adj': 0.04854368932038835, 'compare': 0.02912621359223301, 'differ': 0.05825242718446602, 'relativ': 0.08737864077669903, 'affect': 0.05825242718446602, 'space': 0.038834951456310676, 'negemo': 0.009708737864077669, 'sad': 0.009708737864077669, 'negate': 0.038834951456310676, 'posemo': 0.038834951456310676, 'time': 0.02912621359223301, 'insight': 0.038834951456310676, 'number': 0.038834951456310676, 'drives': 0.06796116504854369, 'achieve': 0.038834951456310676, 'friend': 0.009708737864077669, 'affiliation': 0.009708737864077669, 'reward': 0.019417475728155338, 'work': 0.02912621359223301, 'focusfuture': 0.019417475728155338, 'motion': 0.009708737864077669, 'informal': 0.009708737864077669, 'ppron': 0.1553398058252427, 'i': 0.10679611650485436, 'discrep': 0.038834951456310676, 'quant': 0.009708737864077669, 'power': 0.009708737864077669, 'focuspast': 0.009708737864077669, 'interrog': 0.02912621359223301, 'you': 0.04854368932038835}",Good job! I have one suggestion that could help you:,"More positive words can be used in the comment, like:<br><br>mom, cousin, aunt, brother, boyfriend, dude, beloved, colleague."
5,1565764913.5403626,"Hi! Those choosing to study Ph.D students must be not only smart but also mind-determined. I am sure you are also that kind of person. Because from your words, I can tell you are a self-displined people, who are keeping on his target, try again and again even though he fails. That's the reason why I respect you. For me, it is common to fail a lot of times, because I have also failed a lot of exams even though I tried my best to prepare for it. So please don't be so self-blamed, just keep working on.",3,2,"{'function': 0.6494845360824743, 'article': 0.041237113402061855, 'adverb': 0.14432989690721648, 'relativ': 0.061855670103092786, 'time': 0.030927835051546393, 'conj': 0.1134020618556701, 'auxverb': 0.12371134020618557, 'verb': 0.16494845360824742, 'focuspresent': 0.14432989690721648, 'cogproc': 0.15463917525773196, 'cause': 0.041237113402061855, 'adj': 0.030927835051546393, 'compare': 0.010309278350515464, 'affect': 0.08247422680412371, 'posemo': 0.05154639175257732, 'drives': 0.10309278350515463, 'achieve': 0.07216494845360824, 'power': 0.061855670103092786, 'reward': 0.010309278350515464, 'differ': 0.041237113402061855, 'insight': 0.020618556701030927, 'negate': 0.020618556701030927, 'work': 0.07216494845360824, 'negemo': 0.030927835051546393, 'sad': 0.030927835051546393, 'risk': 0.030927835051546393, 'prep': 0.10309278350515463, 'pronoun': 0.1958762886597938, 'ppron': 0.13402061855670103, 'shehe': 0.020618556701030927, 'social': 0.1134020618556701, 'male': 0.020618556701030927, 'affiliation': 0.010309278350515464, 'i': 0.07216494845360824, 'ipron': 0.061855670103092786, 'tentat': 0.041237113402061855, 'quant': 0.020618556701030927, 'discrep': 0.010309278350515464, 'certain': 0.020618556701030927, 'space': 0.020618556701030927, 'focusfuture': 0.010309278350515464, 'focuspast': 0.010309278350515464, 'interrog': 0.020618556701030927, 'you': 0.041237113402061855}",Great! There is one point I think you could improve:,"You can try to make it more positive with words like:<br><br>mom, cousin, grandmother, parent, girlfriend, partner, colleague, dude."
6,1565764930.7340982,"Hi! Those choosing to study Ph.D students must be not only smart but also mind-determined. I am sure you are also that kind of person. Because from your words, I can tell you are a self-displined people, who are keeping on his target, try again and again even though he fails. That's the reason why I respect you. For me, it is common to fail a lot of times, because I have also failed a lot of exams even though I tried my best to prepare for it. So please don't be so self-blamed, just keep working on.",3,2,"{'function': 0.6494845360824743, 'article': 0.041237113402061855, 'adverb': 0.14432989690721648, 'relativ': 0.061855670103092786, 'time': 0.030927835051546393, 'conj': 0.1134020618556701, 'auxverb': 0.12371134020618557, 'verb': 0.16494845360824742, 'focuspresent': 0.14432989690721648, 'cogproc': 0.15463917525773196, 'cause': 0.041237113402061855, 'adj': 0.030927835051546393, 'compare': 0.010309278350515464, 'affect': 0.08247422680412371, 'posemo': 0.05154639175257732, 'drives': 0.10309278350515463, 'achieve': 0.07216494845360824, 'power': 0.061855670103092786, 'reward': 0.010309278350515464, 'differ': 0.041237113402061855, 'insight': 0.020618556701030927, 'negate': 0.020618556701030927, 'work': 0.07216494845360824, 'negemo': 0.030927835051546393, 'sad': 0.030927835051546393, 'risk': 0.030927835051546393, 'prep': 0.10309278350515463, 'pronoun': 0.1958762886597938, 'ppron': 0.13402061855670103, 'shehe': 0.020618556701030927, 'social': 0.1134020618556701, 'male': 0.020618556701030927, 'affiliation': 0.010309278350515464, 'i': 0.07216494845360824, 'ipron': 0.061855670103092786, 'tentat': 0.041237113402061855, 'quant': 0.020618556701030927, 'discrep': 0.010309278350515464, 'certain': 0.020618556701030927, 'space': 0.020618556701030927, 'focusfuture': 0.010309278350515464, 'focuspast': 0.010309278350515464, 'interrog': 0.020618556701030927, 'you': 0.041237113402061855}",Great! There is one point I think you could improve:,"You can try to make it more positive with words like:<br><br>cousin, father, dad, aunt, partner, neighbor, girlfriend, dear."
7,1565765195.2889488,"Dude, I have work almost 1 month without break. My labmates are not only hardworking but also brilliant. So I think I can understand you well. The thing is, we cannot compare ourselves to others, because we don't have the same background with others. For example, your labmates may already have work experience or they are much elder than you. So I am now trying to compare myself with me at yesterday, which helps me a lot. I think maybe you should try this method. ",3,3,"{'function': 0.6823529411764706, 'article': 0.03529411764705882, 'adverb': 0.10588235294117647, 'cogproc': 0.2235294117647059, 'tentat': 0.08235294117647059, 'focuspast': 0.023529411764705882, 'relativ': 0.07058823529411765, 'time': 0.047058823529411764, 'conj': 0.07058823529411765, 'auxverb': 0.1411764705882353, 'verb': 0.2, 'focuspresent': 0.21176470588235294, 'prep': 0.09411764705882353, 'space': 0.011764705882352941, 'cause': 0.011764705882352941, 'adj': 0.058823529411764705, 'affect': 0.03529411764705882, 'posemo': 0.03529411764705882, 'differ': 0.09411764705882353, 'negate': 0.047058823529411764, 'compare': 0.047058823529411764, 'social': 0.11764705882352941, 'friend': 0.011764705882352941, 'informal': 0.023529411764705882, 'percept': 0.011764705882352941, 'work': 0.03529411764705882, 'drives': 0.09411764705882353, 'affiliation': 0.047058823529411764, 'pronoun': 0.25882352941176473, 'ppron': 0.2, 'i': 0.10588235294117647, 'quant': 0.023529411764705882, 'focusfuture': 0.011764705882352941, 'ipron': 0.058823529411764705, 'we': 0.03529411764705882, 'discrep': 0.011764705882352941, 'they': 0.011764705882352941, 'insight': 0.03529411764705882, 'achieve': 0.047058823529411764, 'nonflu': 0.011764705882352941, 'interrog': 0.011764705882352941, 'you': 0.047058823529411764}",Really supportive! Here is a small tip:,"Show connections to the help seeker, using words like:<br><br>I will, me, ourselves, thank you, you are, ur, they have, her, his, that will, this, that is."
8,1565765235.2837348,"Dude, I have work almost 1 month without break. My labmates are not only hardworking but also brilliant. So I think I can understand you well. The thing is, we cannot compare ourselves to others, because we don't have the same background with others. For example, your labmates may already have work experience or they are much elder than you. So I am now trying to compare myself with me at yesterday, which helps me a lot. I think maybe you should try this method. ",3,3,"{'function': 0.6823529411764706, 'article': 0.03529411764705882, 'adverb': 0.10588235294117647, 'cogproc': 0.2235294117647059, 'tentat': 0.08235294117647059, 'focuspast': 0.023529411764705882, 'relativ': 0.07058823529411765, 'time': 0.047058823529411764, 'conj': 0.07058823529411765, 'auxverb': 0.1411764705882353, 'verb': 0.2, 'focuspresent': 0.21176470588235294, 'prep': 0.09411764705882353, 'space': 0.011764705882352941, 'cause': 0.011764705882352941, 'adj': 0.058823529411764705, 'affect': 0.03529411764705882, 'posemo': 0.03529411764705882, 'differ': 0.09411764705882353, 'negate': 0.047058823529411764, 'compare': 0.047058823529411764, 'social': 0.11764705882352941, 'friend': 0.011764705882352941, 'informal': 0.023529411764705882, 'percept': 0.011764705882352941, 'work': 0.03529411764705882, 'drives': 0.09411764705882353, 'affiliation': 0.047058823529411764, 'pronoun': 0.25882352941176473, 'ppron': 0.2, 'i': 0.10588235294117647, 'quant': 0.023529411764705882, 'focusfuture': 0.011764705882352941, 'ipron': 0.058823529411764705, 'we': 0.03529411764705882, 'discrep': 0.011764705882352941, 'they': 0.011764705882352941, 'insight': 0.03529411764705882, 'achieve': 0.047058823529411764, 'nonflu': 0.011764705882352941, 'interrog': 0.011764705882352941, 'you': 0.047058823529411764}",Amazing comment! Something you could further improve:,"Share knowledge learn from yourself or others, like:<br><br>marry, cousin, mom, brother, partner, dear, best friend, boyfriend."
9,1565765240.5068538,"Dude, I have work almost 1 month without break. My labmates are not only hardworking but also brilliant. So I think I can understand you well. The thing is, we cannot compare ourselves to others, because we don't have the same background with others. For example, your labmates may already have work experience or they are much elder than you. So I am now trying to compare myself with me at yesterday, which helps me a lot. I think maybe you should try this method. ",3,3,"{'function': 0.6823529411764706, 'article': 0.03529411764705882, 'adverb': 0.10588235294117647, 'cogproc': 0.2235294117647059, 'tentat': 0.08235294117647059, 'focuspast': 0.023529411764705882, 'relativ': 0.07058823529411765, 'time': 0.047058823529411764, 'conj': 0.07058823529411765, 'auxverb': 0.1411764705882353, 'verb': 0.2, 'focuspresent': 0.21176470588235294, 'prep': 0.09411764705882353, 'space': 0.011764705882352941, 'cause': 0.011764705882352941, 'adj': 0.058823529411764705, 'affect': 0.03529411764705882, 'posemo': 0.03529411764705882, 'differ': 0.09411764705882353, 'negate': 0.047058823529411764, 'compare': 0.047058823529411764, 'social': 0.11764705882352941, 'friend': 0.011764705882352941, 'informal': 0.023529411764705882, 'percept': 0.011764705882352941, 'work': 0.03529411764705882, 'drives': 0.09411764705882353, 'affiliation': 0.047058823529411764, 'pronoun': 0.25882352941176473, 'ppron': 0.2, 'i': 0.10588235294117647, 'quant': 0.023529411764705882, 'focusfuture': 0.011764705882352941, 'ipron': 0.058823529411764705, 'we': 0.03529411764705882, 'discrep': 0.011764705882352941, 'they': 0.011764705882352941, 'insight': 0.03529411764705882, 'achieve': 0.047058823529411764, 'nonflu': 0.011764705882352941, 'interrog': 0.011764705882352941, 'you': 0.047058823529411764}",Really supportive! Here is a small tip:,"You can try to make it more positive with words like:<br><br>agree, wisdom, accept, joy, super, fun, cool, useful, worthwhile, clever, calm, confident."
